Stadium,Seating Capacity,Region,Country,City,Image,Home Teams,Latitude,Longitude
Estadio Monumental,47347,South America,Chile,Santiago,,Colo-Colo,-33.4377756,-70.6504502
Stadio Artemio Franchi,47282,Europe,Italy,Florence,,ACF Fiorentina,43.7697955,11.2556404
Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,,CA Lanús,-34.7033363,-58.3953235
Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,,"Colombia national football team, Atlético Junior",10.9938599,-74.7926118
Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,Botafogo FR,-22.9110137,-43.2093727
Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",,Náutico,-7.9959607,-35.039335
Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",,C Atlético Mineiro,-19.9227318,-43.9450948
Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",,Grêmio Prudente,-22.1225167,-51.3882528
Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,,"Atlético Nacional, Independiente Medellín",6.2697018,-75.60252574475943
Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,,Sevilla FC,37.3886303,-5.9953403
Adrar Stadium,45480,Africa,Morocco,Agadir,,Hassania Agadir,30.4205162,-9.5838532
Lukoil Arena,45360,Europe,Russia,Moscow,,Spartak Moscow,55.625578,37.6063916
Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,,Kawkab Marrakech,31.6258257,-7.9891608
Mandela National Stadium ,45202,Africa,Uganda,Kampala,,Uganda national football team,0.3177137,32.5813539
Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,,Śląsk Wrocław,51.1263106,16.97819633051261
Kazan Arena,45105,Europe,Russia,Kazan,,Rubin Kazan,55.7823547,49.1242266
Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,,"CS Cienciano, Deportivo Garcilaso, Cusco FC",-13.5170887,-71.9785356
Estádio da Machava ,45000,Africa,Mozambique,Maputo,,Mozambique national football team,-25.966213,32.56745
Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",,Persebaya Surabaya,-7.2459717,112.7378266
Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",,"Persiraja, Aceh United",5.5528455,95.3192908
Estadio General Pablo Rojas ,45000,South America,Paraguay,Asunción,,Club Cerro Porteño,-25.2800459,-57.6343814
Stade Mohammed V ,45000,Africa,Morocco,Casablanca,,"Wydad, Raja",33.5945144,-7.6200284
Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,,,35.5200185,35.7781044
Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",,,36.819626,117.980675
Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",,,36.6961413,119.0915313
Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",,,37.461928,121.4425255
Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,,"ATM FA, Negeri Sembilan",2.7188588,101.9405032
Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,,"Wydad de Fès, Maghreb de Fès",34.0346534,-5.0161926
Lagos National Stadium,45000,Africa,Nigeria,Lagos,,Nigeria national football team,6.4550575,3.3941795
Egyptian Army Stadium,45000,Africa,Egypt,Suez,,,29.974498,32.537086
Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",,"Nagoya Grampus, Toyota Verblitz",35.083386,137.156412
Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,,,24.4538352,54.3774014
Red Bull Arena,44345,Europe,Germany,Leipzig,,RB Leipzig,51.3406321,12.3747329
Estádio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC",-5.0874608,-42.8049571
Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",,"EC Comercial, Operário FC",-20.4640173,-54.6162947
Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,,Ulsan HD FC,35.5391697,129.3119136
Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",,"Cuiabá, Mixto EC",-15.5986686,-56.0991301
Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",,Nacional FC,-3.1316333,-59.9825041
Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,,Suwon Samsung Bluewings,37.2633325,127.0287472
Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",,PSPS Pekanbaru,0.5262455,101.4515727
Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",,SE Palmeiras,-23.5506507,-46.6333824
Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",,,36.6705337,116.985375
Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,,Lechia Gdańsk,54.3482907,18.6540233
Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,,CA San Lorenzo de Almagro,-34.6073387,-58.4432852
Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,,"Lech Poznań, Warta Poznań",52.4082663,16.9335199
Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,,Bulgaria national football team,42.6977028,23.3217359
Estadio Universidad San Marcos,43000,South America,Peru,Lima,,Deportivo Universidad San Marcos,-12.0621065,-77.0365256
Ullevi,43000,Europe,Sweden,Gothenburg,,Sweden women's national football team,57.7072326,11.9670171
Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,,,41.494444,121.615278
Estadio General Santander,42901,South America,Colombia,Cúcuta,,Cúcuta Deportivo,7.8971458,-72.5080387
Villa Park,42682,Europe,England,"Birmingham, West Midlands",,Aston Villa,52.4796992,-1.9026911
Perak Stadium,42500,Southeast Asia,Malaysia,Perak,,Perak FA,4.812181,100.9797908
Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,,Jeonbuk Hyundai Motors FC,35.8237631,127.1472805
Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",,Athletico Paranaense,-25.4295963,-49.2712724
Weserstadion,42358,Europe,Germany,Bremen,,SV Werder Bremen,53.0758196,8.8071646
Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",,Albirex Niigata,37.9163757,139.0365062
Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,,Estudiantes de Mérida,8.5816963,-71.1658075
Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,,Daejeon Citizen,36.3497007,127.3849016
Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,,FC Girondins de Bordeaux,44.841225,-0.5800364
Helsingin Olympiastadion ,42062,Europe,Finland,Helsinki,,Finland national football team,60.1674881,24.9427473
Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense",-16.680882,-49.2532691
Estadio Deportivo Cali ,42000,South America,Colombia,Cali,,Deportivo Cali,3.4108435,-76.58121271109312
Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club",-2.2895167,-80.0983887437901
Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,,Mozambique national football team,-25.966213,32.56745
Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",,,30.7001324,104.0708278
Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",,,-25.575404,27.156484
Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,,Tigres de la UANL,25.7558021,-100.289648
Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,,Club Atlético Colón,-30.3154739,-61.1645076
Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,,Newell's Old Boys,-32.9593609,-60.6617024
Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,,AS Saint-Étienne,45.4401467,4.3873058
Vodafone Park,41903,Europe,Turkey,Istanbul,,Beşiktaş J.K.,41.006381,28.9758715
Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,,Polokwane City FC,-23.9058333,29.4613889
Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,,Rosario Central,-32.9593609,-60.6617024
Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,,"Atlético Club Mineros de Guayana, AC Minervén FC",8.3223763,-62.6896622
Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,,LDU,-0.2201641,-78.5123274
Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",,Juventus FC,45.0677551,7.6824892
Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",,Hokkaido Consadole Sapporo,43.061936,141.3542924
Stamford Bridge,41663,Europe,England,London,,Chelsea,51.4893335,-0.14405508452768728
Goyang Stadium,41311,East Asia,South Korea,Goyang,,,37.6581862,126.8319452
Estadio Hernando Siles ,41143,South America,Bolivia,La Paz,,"La Paz FC, Club Bolívar, The Strongest",-16.4955455,-68.1336229
Bingu National Stadium,41100,Africa,Malawi,Lilongwe,,"Flames, Big Bullets FC",-13.9875107,33.768144
Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",,,-25.481944,30.984722
Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano",10.6498095,-71.6443596
Stade Nelson Mandela,40784,Africa,Algeria,Algiers,,Algeria national football team,36.772925,3.058819
Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",,Kashima Antlers,35.9661164,140.6450292
Baba Yara Stadium ,40528,Africa,Ghana,Kumasi,,"Asante Kotoko, King Faisal Babes",6.6985605,-1.6233086
Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",,Coritiba Foot Ball Club,-25.4295963,-49.2712724
Stage Front Stadium,40500,Europe,Spain,Barcelona,,RCD Espanyol,41.3828939,2.1774322
Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,,Unión Lara,10.0774374,-69.3222293
Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,,Godoy Cruz Antonio Tomba,-32.8894155,-68.8446177
Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,,Persipura Jayapura,-2.5833851,140.5745105
Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,,Gwangju FC,35.1594647,126.8515034
Sân vận động Quốc gia Mỹ Đình ,40192,Southeast Asia,Vietnam,Hanoi,,Vietnam national football team,21.0283334,105.854041
Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC",-2.5295265,-44.2963942
Stade Miloud-Hadefi,40143,Africa,Algeria,Oran,,"Algeria national football team, MC Oran",35.7044415,-0.6502981
Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,,Club Atlético Peñarol,-34.9058916,-56.1913095
Metalist Stadium,40003,Europe,Ukraine,Kharkiv,,"FC Metalist Kharkiv, FC Shakhtar Donetsk",49.9923181,36.2310146
Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,,,25.1566623,51.6013212
Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,,,25.234937,51.5614654
Stade Ahmed-Zabana,40000,Africa,Algeria,Oran,,MC Oran,35.7044415,-0.6502981
Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",,Persiba Balikpapan,-1.2398711,116.8593379
Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",,Gresik United,-7.1571614,112.6559633
Fisht Olympic Stadium,40000,Europe,Russia,Sochi,,,43.5854823,39.723109
Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",,,41.767914,-72.644512
Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,,"Kerala Blasters, India national football team",9.9674277,76.2454436
Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,,Melaka United,2.3293744,102.2880962
Hong Kong Stadium ,40000,East Asia,Hong Kong,So Kon Po,,South China AA,22.2748177,114.1883184
Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,,Penang FA,5.2625962,100.4304555
Accra Sports Stadium,40000,Africa,Ghana,Accra,,"Accra Hearts of Oak SC, Great Olympics",5.5571096,-0.2012376
Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,,Sarawak FA,1.5597561,110.345397
Bogyoke Aung San Stadium ,40000,Southeast Asia,Myanmar,Yangon,,Yangon United FC,16.7967129,96.1609916
Resonac Dome Ōita,40000,East Asia,Japan,Ōita,,Ōita Trinita,33.1819875,131.4270217
Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,,Pahang FA,3.7985637,103.32199
Khalifa International Stadium,40000,West Asia,Qatar,Doha,,Qatar national football team,25.2856329,51.5264162
Stade de l’Amitié sino-gabonaise ,40000,Africa,Gabon,Libreville,,Gabon national football team,0.4086518,9.4418849
Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,,Pakistan national football team,24.8546842,67.0207055
JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,,"Jamshedpur FC, Tata Football Academy",22.8015194,86.2029579
Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",,,22.5445741,114.0545429
Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",,China national football team,25.0363006,102.7086139
Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",,,28.6581723,121.4163876
Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",,,31.1800568,118.2141777
Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",,,23.1125153,114.4127007
